Batch,Time,Scale,G,O,X,Xd,P,L,CO2,Noise_Level_ID,Noise_Level
Batch_2,0.13793103448275862,0.5,5.132683003837858,17.689258527410797,10.61909305874623,0.6710081437451676,1.2017478637902925,0.6178652603654562,5.35510125752442,4,0.04
Batch_2,0.1724137931034483,0.5,4.575381398508996,18.093903039384237,12.716182769965107,0.8989050523518859,1.690958873103732,0.6210288419463735,5.629597347714834,4,0.04
Batch_2,0.20689655172413793,0.5,4.275170625564463,17.881743968171012,12.555529618351915,1.0411396146260394,2.2160751130028333,0.6395091776035022,6.122899824929688,4,0.04
Batch_2,0.24137931034482757,0.5,3.664311079996736,17.189270210153495,12.694218478447006,1.296637870611477,2.5204787356194935,0.5998470903091421,6.069586759414918,4,0.04
Batch_2,0.27586206896551724,0.5,3.2748527834453194,16.822040815411942,14.04821818876749,1.6831012107614167,2.862624780860946,0.6325889230397704,5.7970931375014025,4,0.04
Batch_2,0.3103448275862069,0.5,2.6898239501707946,17.462009045054376,14.626183451151274,1.838179058629203,3.590752948262428,0.6321525484090469,6.110296324041542,4,0.04
Batch_2,0.3448275862068966,0.5,2.1246021417757137,16.352963702492204,15.135649178541888,2.013273406936837,3.5315335697779853,0.6361662149778052,6.427728496181002,4,0.04
Batch_2,0.3793103448275862,0.5,1.7511137905897753,16.130011673414984,15.346633934070594,2.3404119356549073,4.051237395811539,0.5187920792150859,6.217378732397863,4,0.04
Batch_2,0.41379310344827586,0.5,1.1622020161282878,14.72696443478756,15.941559777497533,2.5687256576597846,4.184152482189089,0.5072208156431154,6.778447334395218,4,0.04
Batch_2,0.4482758620689655,0.5,0.7623216500435662,16.941722979411832,19.151893944198008,2.9136919311693887,4.368381570135885,0.4046476861704667,6.589873222608875,4,0.04
Batch_2,0.48275862068965514,0.5,0.40149284338235197,15.865051402458606,17.139710271069166,3.327976488837459,4.856345764034121,0.30726131861312145,6.56564883831577,4,0.04
Batch_2,0.5172413793103449,0.5,0.18103671125721452,14.551106829009123,19.606824649424926,3.4985798535792036,4.797776134484756,0.20667273949786605,6.828094655767847,4,0.04
Batch_2,0.5517241379310345,0.5,0.08095043696451967,13.881376949378053,17.724554614873785,3.894963660439345,4.988630263003227,0.1251104764975278,7.23756818819282,4,0.04
Batch_2,0.5862068965517241,0.5,0.02961650787429956,13.964949635402064,18.739817028194704,4.213999836776548,4.500013440985922,0.06021176077866418,7.22751318885147,4,0.04
Batch_2,0.6206896551724138,0.5,0.012200911839424169,13.51871237382861,18.243638707325506,4.4255845375425364,5.064732285910006,0.02799571789975244,7.114268222728258,4,0.04
Batch_2,0.6551724137931034,0.5,0.004948898629455535,12.438211068514004,18.09467047828242,4.647879209492612,4.831329864126169,0.012251928534013906,7.332518622088233,4,0.04
Batch_2,0.6896551724137931,0.5,0.0017250128754151548,11.40251185395797,17.840097721655273,4.981616650366691,4.6064754988106715,0.0051124334167336775,7.2635533804940335,4,0.04
Batch_2,0.7241379310344828,0.5,0.0006361070109478574,12.041298660950885,15.941155224457969,5.533564982340525,5.361011735370694,0.0021253003266338793,7.032919615967021,4,0.04
Batch_2,0.7586206896551724,0.5,0.0002900873810305633,11.168548633162958,16.29645095146121,5.849917021357402,5.1086479624450085,0.0008239618074689432,6.954608367552109,4,0.04
Batch_2,0.7931034482758621,0.5,0.00010743389495723142,11.617227981390018,15.562867457487041,5.6856008475989555,5.037143237444388,0.00038136947327815,6.93207101694375,4,0.04
Batch_2,0.8275862068965517,0.5,4.447595770919616e-05,11.253264041972137,16.305118475695117,6.170924701663923,5.244080972887493,0.00015961940297087773,6.815981472603594,4,0.04
Batch_2,0.8620689655172413,0.5,1.8944738209676303e-05,10.398800912283255,15.064084513261815,6.314373430327462,5.046408304207383,6.508816284715599e-05,6.223799151157833,4,0.04
Batch_2,0.896551724137931,0.5,7.85477460373611e-06,10.252934345024919,14.395313541154291,6.996996814685445,4.839465462818164,2.9089227314588548e-05,7.084752176311282,4,0.04
Batch_2,0.9310344827586207,0.5,3.3695610244789043e-06,10.859774530813212,15.22099545668378,6.912125937212812,4.966211323817943,1.3055820840672522e-05,6.844445604349653,4,0.04
Batch_2,0.9655172413793103,0.5,1.4623257030823508e-06,10.126597317216124,13.769634190603774,7.948231574054687,4.86734597688316,5.39943634424637e-06,6.371913299333671,4,0.04
Batch_2,1.0,0.5,5.744239606691549e-07,9.337823106093776,14.999764134835093,7.626633976337416,4.904682720511564,2.5071918391806773e-06,7.03862014694699,4,0.04
Batch_3,0.0,0.5,8.201752023795382,18.63073222596937,4.224058079075763,0.0,0.0,0.0,5.133629875808418,4,0.04
